Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-04-26,Snacks,300.0,25.0,11.5,0.0,0.0,0.0,65.0,1000.0,0.0,2.0,0.0,2.0,15.0,6.0,0.0,15.0,0.0,
2017-04-27,Breakfast,517.5,37.6,17.4,0.3,2.5,0.0,202.8,580.8,97.5,24.2,0.0,0.1,21.2,20.3,11.1,27.9,15.3,
2017-04-27,Snacks,90.0,7.0,4.5,0.0,0.0,0.0,20.0,130.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,15.0,0.0,
2017-04-30,Breakfast,128.0,12.9,7.8,0.3,2.0,0.0,42.2,29.6,78.0,3.0,0.0,0.1,1.8,8.2,0.9,6.3,0.2,
2017-04-30,Snacks,90.0,7.0,4.5,0.0,0.0,0.0,20.0,130.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,15.0,0.0,
2017-05-01,Breakfast,321.0,26.4,8.9,8.2,8.2,0.0,399.2,1156.6,286.0,4.3,0.0,0.5,16.4,15.0,0.9,11.9,11.9,
2017-05-01,Dinner,527.8,19.6,5.0,0.0,0.0,0.0,266.0,277.6,1052.2,8.2,3.6,3.6,80.4,24.0,12.0,0.0,17.6,
2017-05-01,Snacks,271.5,17.8,7.6,1.0,1.8,0.0,186.0,71.0,69.0,7.4,0.0,0.2,20.3,5.4,0.0,2.8,4.9,
2017-05-02,Breakfast,316.0,26.4,8.9,8.2,8.2,0.0,399.2,696.6,251.0,3.8,0.0,0.5,15.4,15.0,0.9,11.9,10.9,
2017-05-02,Snacks,35.0,3.0,1.0,1.0,0.5,0.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
2017-05-04,Breakfast,260.0,19.8,9.5,2.3,6.7,0.0,405.3,178.9,255.0,4.6,0.0,0.5,15.3,17.1,1.3,15.1,10.0,
2017-05-04,Snacks,271.5,17.8,7.6,1.0,1.8,0.0,186.0,71.0,69.0,7.4,0.0,0.2,20.3,5.4,0.0,2.8,4.9,
2017-05-05,Breakfast,78.0,6.9,4.3,0.3,2.0,0.0,22.2,24.6,78.0,2.6,0.0,0.1,1.8,4.2,0.9,6.3,0.2,
2017-05-05,Lunch,240.0,10.0,2.0,0.0,0.0,0.0,130.0,1140.0,0.0,2.0,0.0,0.0,32.0,8.0,12.0,4.0,12.0,
2017-05-06,Breakfast,353.0,28.5,15.1,1.9,3.7,0.0,402.0,242.0,138.0,1.7,0.0,0.4,18.6,20.8,0.0,5.6,9.7,
2017-05-08,Breakfast,78.0,6.9,4.3,0.3,2.0,0.0,22.2,24.6,78.0,2.6,0.0,0.1,1.8,4.2,0.9,6.3,0.2,
2017-05-08,Lunch,233.0,19.5,4.6,7.9,6.2,0.0,377.0,212.0,138.0,0.7,0.0,0.4,12.6,10.8,0.0,5.6,9.7,
2017-05-08,Snacks,411.5,29.8,15.6,1.0,1.8,0.0,226.0,351.0,69.0,7.4,0.0,0.2,28.3,9.4,0.0,32.8,4.9,
2017-05-09,Breakfast,187.0,16.4,10.4,0.4,3.0,0.0,53.3,176.9,117.0,3.9,0.0,0.1,6.7,8.4,1.3,24.5,0.4,
2017-05-09,Lunch,233.0,19.5,4.6,7.9,6.2,0.0,377.0,212.0,138.0,0.7,0.0,0.4,12.6,10.8,0.0,5.6,9.7,
2017-05-09,Snacks,200.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,
2017-05-10,Breakfast,463.7,41.5,16.4,9.1,9.5,0.1,619.7,311.5,265.5,3.8,0.0,0.7,20.1,27.4,0.7,13.1,14.8,
2017-05-11,Breakfast,383.0,37.5,15.1,7.9,6.2,0.0,437.0,227.0,138.0,1.9,0.0,0.4,12.6,22.8,0.0,5.6,9.7,
2017-05-13,Breakfast,336.3,25.9,11.8,1.7,6.0,0.0,407.2,337.9,218.0,3.1,0.0,0.1,21.1,16.2,0.9,10.3,8.2,
2017-05-14,Breakfast,358.0,29.9,13.1,1.0,4.0,0.0,254.7,984.6,164.0,4.6,0.0,0.6,16.3,11.2,30.9,18.3,6.2,
2017-05-30,Breakfast,278.0,19.9,10.3,0.3,2.0,0.0,22.2,24.6,78.0,9.6,0.0,0.1,15.8,4.2,0.9,6.3,0.2,
2017-05-31,Breakfast,187.0,16.4,10.4,0.4,3.0,0.0,53.3,176.9,117.0,3.9,0.0,0.1,6.7,8.4,1.3,24.5,0.4,
2017-06-01,Breakfast,410.0,35.0,9.5,7.4,6.5,0.0,415.0,630.0,140.0,2.0,0.0,1.0,23.0,12.0,0.0,4.0,12.0,
2017-06-14,Breakfast,39.0,3.4,2.1,0.1,1.0,0.0,11.1,12.3,39.0,1.3,0.0,0.0,0.9,2.1,0.4,3.2,0.1,
2017-07-05,Breakfast,117.0,10.4,6.4,0.4,3.0,0.0,33.3,36.9,117.0,3.9,0.0,0.1,2.7,6.4,1.3,9.5,0.4,
2017-07-05,Lunch,230.0,20.0,4.5,7.4,6.5,0.0,375.0,210.0,140.0,0.0,0.0,0.0,12.0,12.0,0.0,4.0,8.0,
2017-07-05,Snacks,90.0,7.0,4.5,0.0,0.0,0.0,25.0,150.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,15.0,0.0,
2017-07-11,Breakfast,117.0,10.4,6.4,0.4,3.0,0.0,33.3,36.9,117.0,3.9,0.0,0.1,2.7,6.4,1.3,9.5,0.4,
2017-07-11,Lunch,201.7,13.4,1.5,6.0,2.5,0.0,82.9,151.3,195.6,0.0,0.0,0.0,20.3,0.0,0.0,0.0,1.7,
2017-07-14,Breakfast,117.0,10.4,6.4,0.4,3.0,0.0,33.3,36.9,117.0,3.9,0.0,0.1,2.7,6.4,1.3,9.5,0.4,
2017-09-07,Breakfast,278.0,19.9,10.3,0.3,2.0,0.0,22.2,24.6,78.0,9.6,0.0,0.1,15.8,4.2,0.9,6.3,0.2,
